사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Mar-23,4호선,428,삼각지,2,1,718,348,"2,150","4,872","7,961","13,526","11,069","21,984","6,770","11,209","5,391","9,292","5,665","10,191","6,893","11,184","8,052","10,962","8,503","9,676","9,219","10,865","10,979","12,886","16,597","16,734","24,593","23,050","11,548","13,902","10,730","7,886","12,748","6,195","11,704","5,655","5,811","3,747",885,"1,374",0,3,0,0,0,0,2023-04-03 9:45
Mar-23,4호선,429,신용산,3,0,"1,618","1,008","4,379","12,272","13,313","37,655","18,553","98,641","15,035","74,840","13,940","35,349","18,328","28,245","19,273","29,817","23,438","29,579","23,313","27,685","30,505","28,377","39,487","30,563","64,831","36,860","100,726","45,043","48,778","26,677","37,817","14,896","37,311","11,089","25,970","8,622","12,645","4,733","1,576","1,274",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,4호선,430,이촌(국립중앙박물관),7,0,"1,323",903,"4,786","6,986","14,418","15,046","18,111","30,262","13,667","22,969","10,667","19,857","12,361","18,003","15,775","18,518","16,069","21,887","17,587","20,432","21,721","19,893","28,787","18,646","31,856","18,372","29,684","23,390","12,258","15,802","10,065","9,913","8,706","8,556","4,937","8,468","1,678","4,707",194,"1,457",0,21,0,0,0,0,2023-04-03 9:45
Mar-23,4호선,431,동작(현충원),11,0,229,223,621,"2,006","2,083","3,425","2,677","5,410","2,391","3,548","1,875","3,360","2,310","2,469","2,330","2,553","2,367","3,286","2,591","3,581","3,612","3,135","4,837","3,044","5,726","3,214","5,515","4,006","2,626","2,717","2,005","2,470","1,602","1,343","1,401","1,022",499,645,94,325,0,77,0,0,0,0,2023-04-03 9:45
Mar-23,4호선,432,총신대입구(이수),97,0,"6,305",895,"17,578","9,321","52,496","19,735","64,327","46,106","42,608","32,526","31,260","25,161","29,290","25,610","32,063","27,600","33,785","30,429","30,546","33,163","30,530","40,366","34,007","48,036","37,431","59,529","44,517","84,434","26,963","52,713","25,919","31,034","21,946","26,915","17,999","24,252","8,152","13,932","1,144","3,666",2,652,0,0,0,0,2023-04-03 9:45
Mar-23,4호선,433,사당,128,60,"10,434","1,620","28,042","18,728","76,775","28,417","86,886","40,810","74,486","32,085","49,066","27,812","39,883","34,530","42,270","36,220","41,350","31,323","40,967","30,504","40,256","36,847","43,428","50,296","51,288","72,150","56,498","102,922","38,550","68,206","35,543","39,436","38,667","35,929","33,761","33,656","16,451","21,454","1,681","6,272",3,625,0,0,0,0,2023-04-03 9:45
Mar-23,4호선,434,남태령,37,0,507,59,886,"1,471","2,559","5,208","4,472","6,288","3,375","2,124","2,373","1,444","2,315","1,304","2,293","1,555","2,066","1,425","2,062","1,489","2,300","1,632","3,370","1,833","5,497","1,747","4,602","2,128","1,943","1,939","1,836","1,566",790,"1,212",425,926,183,535,23,117,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1001,서울역,6,1,40,467,120,"3,884","11,861","6,106","21,963","6,553","17,389","5,493","16,307","3,696","17,236","2,200","17,001","3,911","17,040","3,582","8,452","3,436","17,392","4,231","21,170","4,522","18,866","7,665","22,044","9,558","17,997","5,492","13,832","3,842","16,259","3,229","12,711","2,793","6,273",648,868,24,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1002,남영,75,1,"2,541","1,164","5,298","8,106","14,625","27,959","21,480","60,493","13,075","32,018","10,446","17,959","10,634","14,773","12,668","13,280","12,940","13,474","13,916","12,127","20,402","12,886","24,961","14,892","33,010","20,064","45,189","27,495","20,251","17,137","16,421","11,430","16,305","10,280","13,627","9,475","5,544","5,880",116,571,1,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1003,용산,401,11,"5,001","5,507","6,219","34,843","22,339","83,115","35,263","164,381","38,489","119,383","34,598","83,104","51,727","71,340","48,321","74,480","60,851","77,729","49,309","72,087","91,640","75,934","100,213","75,027","133,662","81,752","173,836","89,011","104,014","61,299","102,096","39,301","99,047","26,999","66,368","14,155","26,615","6,562",553,"1,608",0,0,2,0,0,0,2023-04-03 9:45
Mar-23,경부선,1004,노량진,479,5,"4,964","2,218","7,930","5,905","19,331","9,220","26,893","16,445","14,417","12,514","11,005","9,650","11,809","12,373","13,233","13,302","15,160","12,822","14,991","11,579","15,149","14,189","16,876","18,008","18,469","27,061","19,908","41,598","14,976","24,013","14,580","13,804","16,554","12,941","15,294","11,071","5,505","6,499",175,786,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1005,대방,543,2,"5,366","1,962","10,826","8,885","29,080","33,044","36,135","47,271","21,727","23,181","16,456","13,769","15,423","12,932","16,568","14,894","16,399","16,151","15,978","13,562","17,443","15,947","19,053","18,978","29,368","26,964","39,932","36,550","14,911","24,151","11,462","16,441","10,802","16,086","7,395","14,545","2,151","9,362",72,"1,465",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1006,영등포,"4,811",128,"16,301","8,000","17,731","25,388","44,398","64,423","60,699","137,861","43,623","99,760","40,384","78,905","47,206","84,609","56,409","90,989","60,760","93,988","62,588","79,794","89,790","81,519","106,665","84,059","123,375","98,003","169,532","122,824","98,178","76,482","102,059","42,297","78,413","33,037","65,030","26,296","24,231","15,781",479,"2,962",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1007,신도림,403,7,"2,585",671,"3,906","2,816","10,066","7,007","11,390","16,457","6,761","7,863","4,816","5,420","4,669","4,930","5,114","5,149","5,435","5,517","5,341","5,460","5,614","6,589","6,609","7,614","10,031","10,558","15,130","14,980","6,865","8,814","5,093","4,984","5,190","4,215","3,860","3,825","1,556","2,331",78,861,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1032,신길,866,0,"10,171","2,088","11,354","6,014","27,433","19,654","35,666","30,619","19,659","11,550","12,442","6,886","11,243","7,099","13,721","8,158","11,798","8,902","10,418","8,712","11,996","10,209","15,199","13,019","20,474","17,712","31,331","24,641","12,575","17,306","8,891","12,216","7,802","12,766","5,524","11,178","2,094","6,920",122,"1,318",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1701,구로,"12,048",34,"25,274","4,978","20,037","13,994","41,436","33,479","40,097","77,222","29,467","42,290","22,341","28,051","22,024","23,574","23,038","23,377","24,000","24,510","24,893","23,767","28,650","27,136","35,161","32,819","54,056","43,156","63,718","46,235","27,014","32,812","21,126","21,431","18,389","20,318","12,735","18,304","4,888","15,269",22,"12,692",0,3,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1702,가산디지털단지,"1,535",3,"8,564","3,756","7,388","16,400","17,074","61,012","16,635","162,958","12,920","76,704","11,155","24,661","12,346","16,897","14,436","16,969","15,203","18,058","15,648","17,543","19,277","17,270","30,721","21,365","76,805","28,184","116,110","30,137","47,003","22,872","28,502","14,601","23,725","13,849","16,471","11,914","7,150","6,778",275,"1,048",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1703,금천구청,714,2,"12,739","1,400","20,065","5,841","51,778","16,089","47,776","31,382","28,388","12,369","20,728","9,940","18,051","11,143","18,273","12,983","16,496","15,564","14,542","14,499","15,331","21,034","16,963","24,226","18,574","33,360","28,134","49,353","11,912","37,535","8,935","20,458","7,625","19,823","4,838","15,647","1,652","10,696",56,828,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1704,석수,315,0,"8,333","2,602","17,930","6,281","42,127","13,153","39,732","16,934","23,827","12,031","16,137","10,242","14,367","7,284","13,816","8,032","12,546","9,301","11,620","9,948","13,878","13,216","15,611","15,423","18,547","24,464","17,460","35,566","10,057","27,721","6,558","16,547","5,476","16,412","3,664","14,189","1,468","8,569",91,618,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1705,관악,225,2,"7,992","1,764","14,568","4,032","38,880","6,999","35,824","11,810","18,196","12,124","13,096","10,815","11,566","7,647","12,227","8,604","11,683","8,379","10,811","8,947","11,668","10,724","13,731","13,823","13,285","19,514","12,925","32,035","7,429","24,477","5,330","14,023","4,737","14,057","2,816","11,606","1,164","8,215",55,575,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1706,안양,267,3,"15,472","4,547","36,419","13,604","94,370","24,052","84,565","63,797","48,059","63,876","35,634","38,082","35,661","37,756","43,614","36,706","40,572","42,699","39,192","34,829","51,102","40,263","66,375","50,524","65,604","65,115","47,346","98,901","29,676","74,358","26,352","41,880","26,663","35,155","22,142","28,487","9,081","21,274",361,"1,826",0,1,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1707,명학,90,5,"7,332","2,185","11,893","8,568","28,696","27,148","24,639","66,110","12,941","15,705","9,961","10,419","10,698","14,686","10,680","8,028","10,249","10,713","13,675","10,256","12,299","8,173","19,129","10,852","33,635","14,257","40,912","22,266","14,931","19,437","12,880","10,937","8,235","9,032","5,711","8,798","2,237","6,751",114,"1,036",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1708,금정,335,8,"25,108","6,134","41,327","21,248","103,283","46,807","102,891","97,313","60,606","36,255","41,817","23,832","36,839","26,197","38,554","28,010","36,000","30,006","32,293","31,442","34,385","40,648","42,791","53,259","68,125","73,958","80,782","106,266","38,139","83,680","30,045","47,934","26,147","47,263","19,025","41,097","7,779","29,084",517,"10,461",1,1,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1709,군포,18,0,"5,559","2,101","10,034","8,707","20,675","34,345","20,545","47,296","10,937","10,750","8,401","5,064","8,322","5,197","8,719","5,706","7,925","6,522","7,464","6,147","8,156","7,331","10,672","9,645","26,207","11,307","38,478","17,618","12,775","12,950","10,022","8,327","5,547","7,069","3,046","6,263","1,142","3,939",47,753,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1710,의왕,51,0,"6,592","2,964","13,276","13,820","32,002","32,734","32,256","34,071","15,794","11,144","12,206","9,266","12,208","8,027","12,853","9,521","11,391","10,061","11,462","9,720","14,456","10,908","21,921","15,178","31,373","19,665","27,629","30,522","13,294","21,037","9,137","15,026","6,959","13,122","4,704","10,809","1,847","7,523",73,"1,270",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1711,성균관대,162,2,"9,189","1,850","29,887","7,507","77,873","11,022","62,760","31,741","31,517","22,201","23,367","18,390","21,667","16,667","23,954","17,059","22,219","20,408","19,571","18,908","21,292","23,213","30,247","29,540","30,956","45,115","29,472","66,054","17,597","55,382","15,140","33,953","14,266","29,152","12,459","25,962","5,316","17,595",251,"2,912",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1712,화서,386,38,"8,690","3,065","24,584","8,118","49,459","6,741","38,774","12,031","18,245","6,586","13,702","6,783","12,186","7,201","11,393","7,935","10,106","9,082","9,343","9,236","10,260","11,094","15,112","15,474","14,995","24,074","11,672","40,281","6,584","33,196","4,953","19,160","4,120","14,242","3,375","13,713","1,089","8,564",54,"1,672",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1713,수원,"1,433",47,"20,955","5,553","38,975","33,530","83,497","59,814","81,296","90,919","54,687","80,489","46,998","72,412","52,200","69,129","57,854","82,688","57,907","75,150","60,086","74,577","77,612","75,284","101,109","92,358","105,440","109,787","110,785","140,624","83,833","101,813","86,252","60,700","66,835","44,895","57,197","37,143","22,729","23,487",656,"7,499",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1714,독산,562,5,"8,568","2,704","20,315","13,889","53,295","50,324","49,350","110,352","26,956","51,251","20,057","16,980","19,721","12,773","20,597","14,004","19,344","15,850","17,891","13,782","19,666","18,708","30,229","21,791","66,113","31,703","78,741","47,256","34,601","40,367","19,753","22,819","13,817","24,026","8,966","20,603","2,984","12,369",136,764,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1715,세류,421,5,"3,934",969,"9,371","2,690","17,427","4,570","11,902","3,986","6,585","2,759","4,934","2,779","4,616","3,141","4,330","3,387","3,949","3,421","3,584","3,783","3,938","4,214","5,439","6,309","6,833","7,719","5,745","13,700","3,659","10,090","2,823","7,268","2,357","6,038","1,441","4,832",461,"2,933",15,998,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1716,병점,"3,963",34,"8,886","3,708","30,158","12,035","62,783","22,733","52,032","41,233","34,336","23,448","27,721","19,515","26,955","18,576","27,590","23,297","22,855","19,716","23,923","20,495","28,596","27,360","36,661","33,450","38,782","48,379","38,275","58,836","23,703","47,740","15,204","35,784","13,839","27,008","10,239","25,665","3,235","17,374",51,"7,212",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1717,세마,424,2,"2,270",889,"6,569","2,884","12,360","4,790","10,990","11,026","6,738","2,514","5,079","1,969","4,315","2,405","4,521","2,542","4,265","3,337","3,670","3,430","4,167","3,701","6,323","7,000","7,365","8,616","8,774","10,465","3,433","9,054","2,339","5,838","2,150","5,013","1,351","4,668",529,"2,423",59,200,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1718,오산대,198,2,"3,737","1,130","8,054","2,725","15,517","4,025","12,386","13,853","7,443","6,106","5,849","5,309","5,395","4,486","6,226","4,977","6,329","5,244","6,291","5,028","8,285","4,575","10,538","6,869","10,173","10,635","10,386","15,306","4,597","10,948","3,698","6,571","3,448","6,126","2,232","4,768","1,004","3,187",110,312,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1719,오산,505,5,"9,012","2,577","16,718","10,232","31,125","29,059","31,520","22,990","21,248","14,990","18,955","11,983","17,806","10,660","19,195","14,349","15,543","16,066","16,015","15,045","17,844","19,906","24,320","25,086","27,464","31,948","29,280","36,368","16,859","26,976","13,393","21,083","9,253","16,151","5,583","11,150","2,425","8,709",116,857,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1720,진위,37,0,"1,010",408,"1,727","2,686","3,343","9,946","3,253","9,837","2,386","2,920","1,746","2,128","1,851","1,329","2,044","1,108","2,071","1,289","1,857","1,324","3,906","1,617","4,768","2,315","9,473","2,585","10,773","2,774","3,499","2,527","2,238","1,639","1,483","1,595",673,"1,391",270,878,17,61,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1721,송탄,41,1,"5,616","1,162","8,559","4,024","14,761","7,477","13,744","9,478","10,633","4,615","8,731","4,287","8,600","4,305","8,420","6,393","7,668","5,904","7,215","6,631","8,036","8,587","10,615","10,725","10,895","13,851","11,747","14,995","6,577","14,579","5,059","10,644","4,153","9,286","2,214","7,653","1,102","7,014",57,626,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1722,서정리,35,1,"5,057","4,811","12,399","11,270","19,613","19,778","18,637","25,814","15,066","11,429","12,609","7,869","12,740","8,102","14,178","11,126","12,131","11,687","12,663","10,163","15,118","13,041","22,224","18,475","45,417","21,986","28,090","19,941","15,616","20,277","12,009","15,039","8,522","11,540","4,656","11,531","2,256","8,585",90,760,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1723,평택지제,13,0,"2,423","12,042","5,097","13,795","13,000","15,167","11,102","8,713","7,240","4,764","5,905","3,411","5,240","4,033","6,809","4,408","4,608","4,381","5,646","4,431","8,155","5,689","9,183","7,253","19,821","9,576","13,117","11,071","10,440","8,758","5,425","7,025","5,803","6,044","4,749","5,844","1,763","3,536",19,269,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1724,평택,103,6,"7,859","3,392","14,639","9,153","34,315","18,024","34,424","32,317","30,463","25,570","25,439","19,377","22,955","23,065","24,137","25,888","23,876","24,956","23,313","27,893","27,396","29,598","33,067","36,716","38,077","49,534","35,085","46,665","24,775","28,980","24,502","23,601","17,226","18,210","13,768","14,142","7,118","8,032",92,"2,262",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1725,성환,19,2,"2,365",610,"3,859","2,645","7,462","13,130","7,192","27,450","7,272","32,306","7,078","10,764","7,658","6,949","12,088","12,744","13,628","11,510","12,308","6,300","19,818","6,654","28,438","7,902","27,493","9,819","17,905","9,257","7,339","7,060","6,749","6,595","4,197","5,970","2,779","5,544","1,120","4,104",80,"1,133",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1726,직산,90,0,"1,023",547,"1,618","1,297","2,317","3,304","2,172","4,031","1,627","1,483","1,513","1,002","1,669","1,007","1,332","1,157","1,302","1,185","1,252","1,121","1,716","1,291","1,988","1,582","3,855","2,246","3,732","2,283","1,204","2,111","1,027","1,326",792,"1,154",406,"1,063",163,879,22,199,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1727,두정,"1,566",2,"6,074","1,046","10,474","3,848","20,242","13,700","18,955","30,612","15,524","27,617","11,442","19,651","12,572","14,115","16,837","15,791","14,997","13,745","14,793","11,323","18,353","10,584","20,296","15,501","23,810","22,660","22,431","27,350","13,434","17,545","10,219","15,041","10,111","10,706","6,530","10,620","3,052","7,953",27,"2,048",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1728,천안,"2,118",3,"3,697",796,"6,348","3,138","13,008","7,400","11,873","19,000","15,276","16,657","11,645","14,559","13,819","15,603","14,738","15,072","13,906","14,861","19,032","12,957","23,889","14,711","25,142","15,468","23,759","21,185","20,593","22,146","12,694","13,627","10,043","10,758","7,275","7,128","4,004","5,817","2,399","3,822",11,"1,973",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1729,당정,10,0,"3,925",999,"11,199","3,087","28,659","9,529","27,316","19,430","13,866","12,580","9,915","7,396","9,556","5,885","10,930","7,502","9,128","6,841","9,443","6,789","10,622","8,036","12,166","11,191","15,319","14,889","16,200","22,986","6,669","19,328","5,122","12,984","4,511","10,744","3,642","10,586","1,406","7,119",99,"1,220",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1749,서동탄,0,0,"1,139",8,"5,083",998,"11,454","1,716","4,207","1,477","3,121",907,"2,001",780,"1,964","1,258","1,643","1,197","1,524","1,172","1,439","1,509","1,700","2,277","2,025","2,380","2,106","3,484","2,464","5,351","1,032","6,245",871,"2,662",616,"2,016",383,"2,811",105,"1,653",7,"1,406",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경부선,1750,광명,0,0,18,"1,351","3,354","3,056","13,086","6,895","11,312","7,609","7,321","6,840","4,233","4,157","7,511","2,624","5,359","7,924","4,698",230,"4,132","7,874","9,017","4,219","3,257","5,421","9,419","7,474","10,435","13,098","9,374","7,512","3,347","4,707","7,150","3,069","2,584","4,731","1,216",44,0,0,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1801,개봉,"1,534",5,"19,168","5,744","41,517","10,738","105,387","15,562","96,243","24,252","59,884","22,378","41,761","18,283","36,132","20,843","36,426","26,199","32,444","25,691","27,945","30,114","27,902","37,946","31,701","50,012","33,922","65,521","33,164","95,341","20,401","75,183","15,569","45,581","13,007","41,638","10,264","35,497","3,665","20,616",36,"1,318",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1802,오류동,489,6,"13,106","1,684","20,718","4,863","55,369","5,700","55,415","12,037","32,270","10,771","23,097","9,943","20,560","10,247","21,972","13,063","19,140","13,975","16,356","15,936","15,996","19,600","16,832","24,274","16,631","31,827","15,279","45,864","9,154","40,783","6,704","25,922","5,921","22,131","4,563","21,064","1,619","13,719",41,905,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1803,역곡,827,10,"30,278","2,778","48,085","10,522","128,743","15,001","124,172","44,070","70,520","47,103","46,804","29,879","42,207","32,710","44,819","33,132","42,655","33,212","37,079","35,818","39,907","41,496","49,440","60,563","50,834","80,302","44,912","123,876","26,993","101,056","21,889","57,659","19,496","53,322","16,972","46,507","7,664","31,818",257,"1,505",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1804,부천,"2,673",37,"40,581","4,439","45,576","11,918","114,575","19,503","112,953","56,121","67,027","46,166","49,588","40,081","49,876","42,088","54,548","50,298","52,095","54,285","50,074","54,093","54,724","57,205","63,454","72,341","64,346","95,426","60,129","127,890","39,883","106,204","33,417","63,470","32,032","53,637","27,446","43,518","13,112","29,556",371,"3,375",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1805,송내,"1,595",5,"17,285","9,384","41,998","17,404","120,100","32,067","99,462","83,259","57,881","41,777","41,674","24,492","39,465","24,663","39,608","26,716","36,065","30,005","31,170","30,284","34,922","33,626","40,370","48,644","50,468","64,571","79,477","102,994","32,600","88,895","24,107","52,758","20,531","45,829","16,483","40,181","7,361","25,304",466,"2,661",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1806,부평,"8,352",74,"23,304","5,751","38,577","13,736","90,462","21,450","84,967","34,825","49,950","38,671","41,061","35,337","41,080","41,740","45,198","48,315","44,488","54,202","44,259","54,043","49,591","56,814","57,251","73,153","60,528","92,636","57,207","128,228","43,806","104,170","39,278","55,779","39,949","47,279","34,213","39,825","17,760","25,477","2,482","6,084",1,3,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1807,백운,128,0,"7,944","1,601","14,086","4,238","30,457","4,911","27,679","9,739","16,779","6,969","13,261","5,688","12,717","7,245","13,187","8,706","10,970","9,355","8,977","9,118","10,552","12,034","11,615","15,688","11,030","18,622","8,946","25,193","4,914","23,814","4,037","13,448","3,559","12,448","2,505","11,638","1,194","7,328",82,"1,652",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1808,동암,552,7,"19,907","3,645","35,344","8,432","68,419","13,964","64,727","17,534","37,135","14,622","29,156","14,327","27,240","18,163","26,921","18,429","24,746","20,590","21,891","20,567","21,324","26,903","23,968","36,038","26,768","48,587","24,080","64,553","14,856","57,629","12,055","36,222","10,341","31,792","7,865","28,488","3,645","17,744",230,"3,781",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1809,주안,809,36,"15,152","4,444","29,197","9,501","67,161","20,296","61,744","33,308","38,927","29,057","30,182","20,653","30,368","20,462","34,059","25,596","31,870","20,932","28,378","24,762","33,992","25,329","35,989","36,780","43,942","43,679","42,004","62,082","25,675","61,968","22,153","35,442","20,581","30,225","17,756","27,546","8,078","20,920",518,"4,373",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1810,제물포,751,6,"7,917","2,524","16,596","5,502","42,324","15,897","36,828","38,397","20,749","20,181","16,969","10,527","16,590","9,656","18,007","12,845","16,855","13,944","15,297","12,651","21,969","13,674","26,905","18,374","25,580","24,031","26,382","32,771","11,476","30,772","8,371","18,146","6,956","16,449","5,016","15,410","1,860","10,963",56,"3,115",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1811,동인천,"1,447",25,"7,141","2,892","18,626","12,478","46,600","24,963","37,088","35,840","22,865","18,336","20,766","21,123","21,769","24,323","24,656","20,579","24,128","24,015","23,565","22,434","27,633","21,997","34,164","26,963","40,311","31,152","45,831","36,955","19,796","36,569","13,864","21,342","10,647","17,221","7,386","15,999","2,500","10,435",20,"3,639",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1812,인천,314,29,"1,309","1,048","3,661","3,320","6,490","6,744","5,773","9,254","3,827","5,037","3,681","7,088","4,224","10,312","6,084","10,710","7,931","8,810","10,054","8,026","12,648","6,089","15,663","5,439","15,812","4,727","14,656","4,581","6,652","3,189","4,959","2,599","3,108","2,013","1,743","1,836",429,"1,301",7,"1,089",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1813,구일,235,5,"4,213","1,566","10,251","4,954","29,997","10,100","26,125","17,785","15,137","16,769","11,424","8,148","10,599","8,444","11,475","15,380","10,439","14,448","10,411","9,221","17,467","10,486","23,660","12,967","20,619","16,580","14,328","27,357","7,174","21,148","5,183","11,799","4,743","11,164","4,222","9,857","1,283","6,322",19,315,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1814,소사,"1,027",11,"14,747","3,291","15,358","5,542","33,005","8,726","29,867","15,384","19,442","12,458","15,769","12,312","14,631","10,340","14,925","12,633","14,178","11,652","12,525","11,529","13,500","13,517","16,522","18,203","16,358","22,752","13,541","28,839","7,582","25,269","5,365","15,524","4,900","14,684","3,333","13,038","1,248","9,784",45,"1,139",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1815,부개,"1,966",20,"10,664","1,573","18,739","3,484","45,580","6,463","37,604","11,381","22,630","7,024","16,485","6,072","14,776","8,139","14,418","9,534","13,437","10,668","10,974","11,426","10,843","13,995","12,887","19,966","12,563","25,767","11,774","33,008","6,742","29,097","4,682","17,389","4,323","15,838","2,673","13,748","1,485","9,850",110,"1,495",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1816,간석,317,13,"5,817","1,332","11,563","2,603","26,831","4,820","21,546","10,406","12,542","5,369","10,161","5,391","9,751","5,929","9,809","6,504","9,018","8,323","8,368","7,882","9,179","9,861","10,046","13,030","9,422","16,104","10,259","20,156","5,515","18,503","4,458","11,800","3,998","9,303","2,947","8,067","1,265","5,902",87,"1,620",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1817,도원,420,2,"2,300","1,022","3,822","1,890","8,540","7,868","7,784","23,554","4,920","4,274","4,351","4,125","5,254","4,049","5,534","4,571","5,830","6,208","4,856","4,799","7,637","5,528","16,113","6,153","10,698","6,478","10,295","7,151","3,156","6,556","2,395","4,182","2,028","3,704","1,015","2,984",340,"2,261",20,"1,097",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1821,온수(성공회대입구),195,4,"5,783","1,315","9,113","3,512","25,335","11,103","22,832","15,885","14,865","9,871","12,208","7,290","11,302","8,000","12,718","8,630","11,448","8,353","10,720","9,235","12,543","10,482","18,154","12,708","15,552","16,339","12,776","23,245","6,730","19,736","4,904","11,970","5,010","10,993","3,535","9,650","1,709","6,436",47,548,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1822,중동,920,19,"11,862","1,192","19,313","3,274","48,549","5,445","38,605","13,284","22,182","8,562","16,176","7,802","15,370","9,297","16,029","10,151","14,287","11,202","12,129","12,569","11,744","13,637","12,808","20,265","13,716","25,721","13,358","35,443","7,252","30,296","5,653","19,208","4,947","16,332","3,225","13,911","1,378","10,256",66,"1,371",0,0,0,0,0,0,2023-04-03 9:45
Mar-23,경인선,1823,도화,291,2,"4,517",547,"7,816","1,872","18,350","4,441","15,599","7,244","9,309","4,067","7,944","3,792","7,259","4,312","7,319","5,537","7,041","5,500","6,107","6,057","6,307","7,533","7,419","9,542","7,596","10,626","7,400","12,446","3,769","11,720","2,805","7,117","2,113","6,107","1,489","5,051",668,"4,223",31,"1,468",0,0,0,0,0,0,2023-04-03 9:45
