사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Mar-23,2호선,204,을지로4가,3,0,"1,056","1,159","2,010","12,807","5,451","36,163","10,994","85,337","12,775","43,943","15,090","26,688","17,647","26,232","19,331","23,767","21,584","22,936","24,999","21,562","27,620","19,163","34,797","18,103","61,678","18,410","73,216","18,285","32,179","12,371","19,525","8,317","16,029","8,234","10,987","7,885","5,166","5,488",932,"1,842",1,57,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,205,동대문역사문화공원(DDP),185,5,"5,498","1,434","4,395","8,824","7,870","25,408","14,291","52,796","14,113","33,088","15,117","30,026","17,571","31,056","20,949","29,304","22,931","30,688","27,614","30,241","34,305","28,283","43,188","26,706","45,959","29,922","50,108","34,555","32,315","31,253","24,769","22,670","26,406","19,243","19,397","17,150","10,847","10,673","1,949","3,513",2,116,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,206,신당,24,0,"6,342","1,039","11,849","8,584","31,928","17,733","52,869","34,928","31,127","23,304","20,696","19,117","19,616","20,956","22,224","21,834","23,287","23,090","23,503","24,122","24,591","26,227","28,805","31,250","31,805","38,630","35,803","56,248","25,012","38,677","19,344","23,552","18,105","21,017","15,784","20,340","8,029","12,069","1,283","3,908",1,48,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,207,상왕십리,68,5,"5,713",621,"14,695","6,394","44,187","13,768","72,753","35,188","39,700","18,786","24,130","14,111","20,971","12,864","22,751","14,927","20,948","16,318","19,157","17,972","19,948","21,884","22,087","26,818","26,401","36,772","29,370","56,056","20,028","39,249","13,178","25,034","11,558","23,974","8,196","22,572","3,138","13,826",497,"4,555",0,46,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,208,왕십리(성동구청),820,3,"6,709","1,232","9,971","7,484","27,227","15,266","49,379","30,884","30,651","21,125","20,365","16,123","19,735","17,637","23,214","19,076","24,275","20,386","24,720","20,461","26,788","22,368","35,322","27,321","38,401","38,947","41,147","62,039","27,163","38,622","26,698","23,430","30,779","20,886","32,588","20,371","19,980","14,094","3,776","5,143",3,86,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,209,한양대,6,0,"1,042",445,"2,473","6,345","5,992","13,730","9,069","83,759","6,650","73,014","8,571","67,529","14,102","19,658","19,401","43,476","22,156","32,043","30,210","23,138","39,683","13,923","51,228","13,188","65,867","18,198","49,017","23,014","22,026","9,899","19,138","6,647","22,395","5,988","13,319","6,127","6,290","4,307","1,261","1,386",1,42,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,210,뚝섬,16,2,"3,107","2,438","8,445","16,219","19,596","40,726","26,890","144,373","18,519","97,378","15,389","44,432","17,421","35,455","21,327","36,362","25,030","38,938","30,131","35,254","38,055","35,611","49,606","37,675","77,302","39,945","139,452","50,371","70,076","28,652","46,420","15,338","45,147","13,252","30,556","12,265","11,662","7,905","1,600","2,712",2,65,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,211,성수,47,1,"5,464","4,223","9,766","33,080","24,933","79,002","33,732","287,267","26,523","167,172","23,194","76,347","26,964","58,181","32,863","61,145","39,994","66,289","46,129","63,794","56,779","62,978","75,139","62,406","136,346","67,478","256,680","76,636","124,992","45,518","85,345","22,578","77,477","17,946","56,618","15,591","22,927","12,422","3,170","5,985",3,956,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,212,건대입구,306,7,"16,037","1,884","22,424","16,877","57,081","26,535","99,906","72,364","67,398","55,042","41,945","48,882","40,133","51,472","47,472","56,358","51,595","61,349","53,405","61,541","59,026","67,838","69,044","83,325","80,358","117,330","95,419","171,709","72,066","117,907","73,967","68,754","83,771","62,155","88,442","55,527","55,810","32,789","8,939","11,929",11,836,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,213,구의(광진구청),56,0,"13,419","1,567","27,532","19,999","73,086","16,739","125,237","41,532","75,788","25,085","39,481","20,878","33,217","20,784","34,205","24,010","32,843","27,216","29,721","29,139","30,076","37,692","40,317","44,834","39,143","61,394","47,087","98,074","24,869","73,698","19,518","47,120","17,786","45,777","16,382","42,480","8,898","24,808","1,415","8,186",3,133,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,214,강변(동서울터미널),21,2,"8,496","2,230","28,385","21,622","84,449","23,122","127,375","43,433","89,634","36,312","68,431","35,789","58,429","34,587","54,536","39,110","50,363","44,176","46,087","49,561","47,917","59,935","52,275","67,733","59,286","84,823","63,523","115,082","44,985","83,144","35,564","55,589","28,249","47,508","18,759","43,630","7,479","23,824",950,"6,331",4,67,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,215,잠실나루,3,0,"3,208","1,915","12,766","12,207","42,875","24,475","52,132","41,126","33,588","26,512","26,581","20,119","25,389","18,095","24,853","22,094","22,612","23,424","23,510","21,572","26,560","22,197","33,125","24,176","39,773","30,944","32,724","42,847","16,276","32,745","12,230","20,451","9,450","19,146","7,035","19,163","3,056","10,536",415,"3,213",0,25,0,0,0,0,2023-04-03 9:45
